|Time|Size|Power|Thread
0|0.32|512|1|1
1|0.32|512|1|2
2|0.32|512|1|4
3|0.32|512|1|6
4|0.32|512|1|8
5|0.32|512|1|10
6|0.32|512|1|12
7|0.32|512|1|14
8|0.32|512|1|16
9|0.64|512|2|1
10|0.32|512|2|2
11|0.32|512|2|4
12|0.32|512|2|6
13|0.32|512|2|8
14|0.33|512|2|10
15|0.33|512|2|12
16|0.34|512|2|14
17|0.33|512|2|16
18|0.98|512|3|1
19|0.64|512|3|2
20|0.33|512|3|4
21|0.33|512|3|6
22|0.33|512|3|8
23|0.33|512|3|10
24|0.33|512|3|12
25|0.33|512|3|14
26|0.33|512|3|16
27|1.29|512|4|1
28|0.64|512|4|2
29|0.33|512|4|4
30|0.34|512|4|6
31|0.34|512|4|8
32|0.34|512|4|10
33|0.34|512|4|12
34|0.34|512|4|14
35|0.34|512|4|16
36|1.6|512|5|1
37|0.96|512|5|2
38|0.65|512|5|4
39|0.34|512|5|6
40|0.35|512|5|8
41|0.35|512|5|10
42|0.35|512|5|12
43|0.35|512|5|14
44|0.34|512|5|16
45|1.91|512|6|1
46|0.95|512|6|2
47|0.65|512|6|4
48|0.34|512|6|6
49|0.34|512|6|8
50|0.34|512|6|10
51|0.34|512|6|12
52|0.35|512|6|14
53|0.34|512|6|16
54|2.22|512|7|1
55|1.28|512|7|2
56|0.66|512|7|4
57|0.66|512|7|6
58|0.36|512|7|8
59|0.37|512|7|10
60|0.37|512|7|12
61|0.37|512|7|14
62|0.36|512|7|16
63|2.54|512|8|1
64|1.27|512|8|2
65|0.65|512|8|4
66|0.67|512|8|6
67|0.38|512|8|8
68|0.39|512|8|10
69|0.38|512|8|12
70|0.38|512|8|14
71|0.38|512|8|16
72|2.86|512|9|1
73|1.59|512|9|2
74|0.97|512|9|4
75|0.66|512|9|6
76|0.68|512|9|8
77|0.48|512|9|10
78|0.49|512|9|12
79|0.49|512|9|14
80|0.48|512|9|16
81|3.18|512|10|1
82|1.59|512|10|2
83|0.97|512|10|4
84|0.67|512|10|6
85|0.7|512|10|8
86|0.53|512|10|10
87|0.52|512|10|12
88|0.52|512|10|14
89|0.55|512|10|16
90|3.49|512|11|1
91|1.9|512|11|2
92|0.98|512|11|4
93|0.68|512|11|6
94|0.69|512|11|8
95|0.72|512|11|10
96|0.53|512|11|12
97|0.52|512|11|14
98|0.53|512|11|16
99|3.8|512|12|1
100|1.91|512|12|2
101|0.98|512|12|4
102|0.67|512|12|6
103|0.71|512|12|8
104|0.82|512|12|10
105|0.56|512|12|12
106|0.54|512|12|14
107|0.55|512|12|16
108|4.13|512|13|1
109|2.23|512|13|2
110|1.29|512|13|4
111|1.0|512|13|6
112|0.71|512|13|8
113|0.75|512|13|10
114|0.74|512|13|12
115|0.63|512|13|14
116|0.6|512|13|16
117|4.44|512|14|1
118|2.22|512|14|2
119|1.3|512|14|4
120|0.99|512|14|6
121|0.72|512|14|8
122|0.74|512|14|10
123|0.85|512|14|12
124|0.64|512|14|14
125|0.65|512|14|16
126|4.73|512|15|1
127|2.54|512|15|2
128|1.31|512|15|4
129|1.0|512|15|6
130|0.75|512|15|8
131|0.86|512|15|10
132|0.95|512|15|12
133|0.95|512|15|14
134|0.7|512|15|16
