|Time|Size|Power|Thread
135|5.07|512|16|1
136|2.54|512|16|2
137|1.33|512|16|4
138|1.0|512|16|6
139|0.76|512|16|8
140|0.77|512|16|10
141|0.88|512|16|12
142|0.94|512|16|14
143|0.73|512|16|16
144|2.68|1024|1|1
145|2.68|1024|1|2
146|2.68|1024|1|4
147|2.68|1024|1|6
148|2.68|1024|1|8
149|2.68|1024|1|10
150|2.69|1024|1|12
151|2.68|1024|1|14
152|2.68|1024|1|16
153|5.36|1024|2|1
154|2.97|1024|2|2
155|2.71|1024|2|4
156|2.71|1024|2|6
157|2.7|1024|2|8
158|2.71|1024|2|10
159|2.7|1024|2|12
160|2.71|1024|2|14
161|2.71|1024|2|16
162|8.03|1024|3|1
163|5.38|1024|3|2
164|2.76|1024|3|4
165|2.75|1024|3|6
166|2.75|1024|3|8
167|2.76|1024|3|10
168|2.75|1024|3|12
169|2.75|1024|3|14
170|2.76|1024|3|16
171|10.73|1024|4|1
172|5.43|1024|4|2
173|2.79|1024|4|4
174|2.78|1024|4|6
175|2.8|1024|4|8
176|2.93|1024|4|10
177|2.93|1024|4|12
178|2.92|1024|4|14
179|2.91|1024|4|16
180|13.4|1024|5|1
181|8.1|1024|5|2
182|5.42|1024|5|4
183|2.86|1024|5|6
184|2.88|1024|5|8
185|2.89|1024|5|10
186|3.23|1024|5|12
187|3.13|1024|5|14
188|3.09|1024|5|16
189|16.12|1024|6|1
190|8.16|1024|6|2
191|5.49|1024|6|4
192|2.92|1024|6|6
193|2.92|1024|6|8
194|3.0|1024|6|10
195|2.98|1024|6|12
196|3.49|1024|6|14
197|3.38|1024|6|16
198|18.82|1024|7|1
199|10.76|1024|7|2
200|5.54|1024|7|4
201|5.82|1024|7|6
202|3.06|1024|7|8
203|3.06|1024|7|10
204|3.09|1024|7|12
205|3.08|1024|7|14
206|3.5|1024|7|16
207|21.43|1024|8|1
208|10.79|1024|8|2
209|5.6|1024|8|4
210|5.64|1024|8|6
211|3.24|1024|8|8
212|3.29|1024|8|10
213|3.29|1024|8|12
214|3.52|1024|8|14
215|3.63|1024|8|16
216|24.15|1024|9|1
217|13.43|1024|9|2
218|8.17|1024|9|4
219|5.66|1024|9|6
220|5.87|1024|9|8
221|4.15|1024|9|10
222|4.1|1024|9|12
223|4.13|1024|9|14
224|3.79|1024|9|16
225|26.92|1024|10|1
226|13.47|1024|10|2
227|8.18|1024|10|4
228|5.88|1024|10|6
229|6.27|1024|10|8
230|4.61|1024|10|10
231|4.53|1024|10|12
232|4.83|1024|10|14
233|4.69|1024|10|16
234|29.81|1024|11|1
235|16.15|1024|11|2
236|8.43|1024|11|4
237|6.08|1024|11|6
238|6.33|1024|11|8
239|7.46|1024|11|10
240|4.62|1024|11|12
241|5.11|1024|11|14
242|4.84|1024|11|16
243|32.12|1024|12|1
244|16.17|1024|12|2
245|8.42|1024|12|4
246|6.5|1024|12|6
247|6.5|1024|12|8
248|6.57|1024|12|10
249|5.15|1024|12|12
250|5.22|1024|12|14
251|5.15|1024|12|16
252|34.82|1024|13|1
253|18.84|1024|13|2
254|11.03|1024|13|4
255|8.78|1024|13|6
256|6.4|1024|13|8
257|7.71|1024|13|10
258|7.27|1024|13|12
259|5.19|1024|13|14
260|5.41|1024|13|16
261|37.51|1024|14|1
262|18.83|1024|14|2
263|10.92|1024|14|4
264|8.42|1024|14|6
265|6.69|1024|14|8
266|7.73|1024|14|10
267|7.7|1024|14|12
268|5.7|1024|14|14
269|5.94|1024|14|16
270|40.2|1024|15|1
271|21.49|1024|15|2
272|11.16|1024|15|4
273|9.22|1024|15|6
274|7.08|1024|15|8
275|7.01|1024|15|10
276|8.1|1024|15|12
277|7.27|1024|15|14
278|6.1|1024|15|16
279|44.08|1024|16|1
280|21.52|1024|16|2
281|11.59|1024|16|4
282|9.49|1024|16|6
283|7.25|1024|16|8
284|8.02|1024|16|10
285|8.21|1024|16|12
286|8.57|1024|16|14
287|6.52|1024|16|16
288|30.99|2048|1|1
289|30.53|2048|1|2
290|30.82|2048|1|4
291|30.13|2048|1|6
292|34.15|2048|1|8
293|32.08|2048|1|10
294|31.04|2048|1|12
295|30.27|2048|1|14
296|30.93|2048|1|16
297|61.87|2048|2|1
298|32.95|2048|2|2
299|34.38|2048|2|4
300|33.43|2048|2|6
301|31.83|2048|2|8
302|31.96|2048|2|10
303|32.2|2048|2|12
304|32.5|2048|2|14
305|32.48|2048|2|16
306|90.59|2048|3|1
307|63.59|2048|3|2
308|36.47|2048|3|4
309|32.5|2048|3|6
310|33.14|2048|3|8
311|33.63|2048|3|10
312|33.24|2048|3|12
313|33.06|2048|3|14
314|32.55|2048|3|16
315|122.8|2048|4|1
316|67.22|2048|4|2
317|33.55|2048|4|4
318|29.7|2048|4|6
319|35.18|2048|4|8
320|35.36|2048|4|10
321|35.22|2048|4|12
322|35.08|2048|4|14
323|34.99|2048|4|16
324|155.23|2048|5|1
325|107.62|2048|5|2
326|62.67|2048|5|4
327|32.64|2048|5|6
328|33.9|2048|5|8
329|29.44|2048|5|10
330|30.47|2048|5|12
331|34.14|2048|5|14
332|33.88|2048|5|16
333|185.99|2048|6|1
334|104.7|2048|6|2
335|64.84|2048|6|4
336|35.49|2048|6|6
337|36.25|2048|6|8
338|32.98|2048|6|10
339|32.85|2048|6|12
340|32.02|2048|6|14
341|36.52|2048|6|16
342|216.52|2048|7|1
343|128.91|2048|7|2
344|67.23|2048|7|4
345|62.71|2048|7|6
346|32.31|2048|7|8
347|34.3|2048|7|10
348|32.67|2048|7|12
349|33.68|2048|7|14
350|38.9|2048|7|16
351|247.27|2048|8|1
352|138.66|2048|8|2
353|68.33|2048|8|4
354|63.19|2048|8|6
355|37.97|2048|8|8
356|38.91|2048|8|10
357|35.63|2048|8|12
358|32.49|2048|8|14
359|33.68|2048|8|16
360|274.59|2048|9|1
361|160.03|2048|9|2
362|98.13|2048|9|4
363|67.99|2048|9|6
364|66.2|2048|9|8
365|34.7|2048|9|10
366|34.63|2048|9|12
367|36.65|2048|9|14
368|34.73|2048|9|16
369|312.84|2048|10|1
370|161.19|2048|10|2
371|101.94|2048|10|4
372|62.0|2048|10|6
373|72.35|2048|10|8
374|46.17|2048|10|10
375|39.82|2048|10|12
376|46.44|2048|10|14
377|45.57|2048|10|16
378|338.07|2048|11|1
379|194.73|2048|11|2
380|103.58|2048|11|4
381|64.61|2048|11|6
382|73.41|2048|11|8
383|67.35|2048|11|10
384|45.35|2048|11|12
385|47.09|2048|11|14
386|46.99|2048|11|16
387|373.26|2048|12|1
388|200.15|2048|12|2
389|107.28|2048|12|4
390|67.54|2048|12|6
391|69.52|2048|12|8
392|64.14|2048|12|10
393|46.04|2048|12|12
394|46.91|2048|12|14
395|47.85|2048|12|16
396|381.58|2048|13|1
397|221.7|2048|13|2
398|126.17|2048|13|4
399|92.52|2048|13|6
400|59.16|2048|13|8
401|73.76|2048|13|10
402|64.84|2048|13|12
403|51.58|2048|13|14
404|53.37|2048|13|16
405|442.71|2048|14|1
406|236.53|2048|14|2
407|140.79|2048|14|4
408|89.84|2048|14|6
409|60.25|2048|14|8
410|64.5|2048|14|10
411|76.98|2048|14|12
412|53.8|2048|14|14
413|55.01|2048|14|16
414|466.15|2048|15|1
415|248.98|2048|15|2
416|114.89|2048|15|4
417|95.16|2048|15|6
418|75.25|2048|15|8
419|67.54|2048|15|10
420|77.69|2048|15|12
421|70.4|2048|15|14
422|55.08|2048|15|16
423|464.91|2048|16|1
424|239.57|2048|16|2
425|128.71|2048|16|4
426|95.55|2048|16|6
427|76.09|2048|16|8
428|75.4|2048|16|10
429|75.2|2048|16|12
430|84.25|2048|16|14
431|60.67|2048|16|16
