|time|mat_size|power|num_th|blk_size
0|81.13|2048|2|1|4.0
1|77.11|2048|2|1|8.0
2|84.83|2048|2|1|16.0
3|79.35|2048|2|1|32.0
4|77.16|2048|2|1|64.0
5|63.15|2048|2|2|4.0
6|38.85|2048|2|2|8.0
7|46.87|2048|2|2|16.0
8|41.97|2048|2|2|32.0
9|39.45|2048|2|2|64.0
10|41.32|2048|2|4|4.0
11|51.36|2048|2|4|8.0
12|44.62|2048|2|4|16.0
13|41.99|2048|2|4|32.0
14|39.22|2048|2|4|64.0
15|41.28|2048|2|8|4.0
16|56.39|2048|2|8|8.0
17|49.25|2048|2|8|16.0
18|40.18|2048|2|8|32.0
19|39.3|2048|2|8|64.0
20|47.84|2048|2|16|4.0
21|44.9|2048|2|16|8.0
22|46.03|2048|2|16|16.0
23|41.43|2048|2|16|32.0
24|39.33|2048|2|16|64.0
25|122.63|2048|3|1|4.0
26|116.23|2048|3|1|8.0
27|127.65|2048|3|1|16.0
28|119.84|2048|3|1|32.0
29|116.11|2048|3|1|64.0
30|82.52|2048|3|2|4.0
31|91.1|2048|3|2|8.0
32|87.79|2048|3|2|16.0
33|80.04|2048|3|2|32.0
34|78.11|2048|3|2|64.0
35|44.52|2048|3|4|4.0
36|44.49|2048|3|4|8.0
37|46.79|2048|3|4|16.0
38|41.13|2048|3|4|32.0
39|40.02|2048|3|4|64.0
40|41.23|2048|3|8|4.0
41|39.24|2048|3|8|8.0
42|46.98|2048|3|8|16.0
43|42.19|2048|3|8|32.0
44|39.49|2048|3|8|64.0
45|45.85|2048|3|16|4.0
46|49.97|2048|3|16|8.0
47|46.28|2048|3|16|16.0
48|42.06|2048|3|16|32.0
49|40.03|2048|3|16|64.0
50|162.66|2048|4|1|4.0
51|153.67|2048|4|1|8.0
52|169.42|2048|4|1|16.0
53|158.92|2048|4|1|32.0
54|154.74|2048|4|1|64.0
55|97.46|2048|4|2|4.0
56|83.88|2048|4|2|8.0
57|86.1|2048|4|2|16.0
58|81.87|2048|4|2|32.0
59|78.39|2048|4|2|64.0
60|43.7|2048|4|4|4.0
61|47.67|2048|4|4|8.0
62|49.19|2048|4|4|16.0
63|41.13|2048|4|4|32.0
64|40.16|2048|4|4|64.0
65|122.39|2048|4|8|4.0
66|59.31|2048|4|8|8.0
67|48.09|2048|4|8|16.0
68|42.04|2048|4|8|32.0
69|40.08|2048|4|8|64.0
70|57.6|2048|4|16|4.0
71|48.66|2048|4|16|8.0
72|46.44|2048|4|16|16.0
73|42.71|2048|4|16|32.0
74|40.15|2048|4|16|64.0
75|205.32|2048|5|1|4.0
76|194.32|2048|5|1|8.0
77|214.23|2048|5|1|16.0
78|200.46|2048|5|1|32.0
79|194.29|2048|5|1|64.0
80|123.45|2048|5|2|4.0
81|117.57|2048|5|2|8.0
82|131.98|2048|5|2|16.0
83|122.47|2048|5|2|32.0
84|117.92|2048|5|2|64.0
85|82.27|2048|5|4|4.0
86|124.81|2048|5|4|8.0
87|87.03|2048|5|4|16.0
88|81.33|2048|5|4|32.0
89|79.01|2048|5|4|64.0
90|51.76|2048|5|8|4.0
91|80.02|2048|5|8|8.0
92|46.62|2048|5|8|16.0
93|43.19|2048|5|8|32.0
94|41.14|2048|5|8|64.0
95|76.34|2048|5|16|4.0
96|83.02|2048|5|16|8.0
97|45.85|2048|5|16|16.0
98|41.87|2048|5|16|32.0
99|40.93|2048|5|16|64.0
100|243.9|2048|6|1|4.0
101|230.9|2048|6|1|8.0
102|254.76|2048|6|1|16.0
103|238.36|2048|6|1|32.0
104|232.32|2048|6|1|64.0
105|122.55|2048|6|2|4.0
106|121.99|2048|6|2|8.0
107|135.78|2048|6|2|16.0
108|122.09|2048|6|2|32.0
109|117.88|2048|6|2|64.0
110|111.93|2048|6|4|4.0
111|78.37|2048|6|4|8.0
112|89.75|2048|6|4|16.0
113|82.65|2048|6|4|32.0
114|79.25|2048|6|4|64.0
115|108.71|2048|6|8|4.0
116|83.85|2048|6|8|8.0
117|55.62|2048|6|8|16.0
118|43.71|2048|6|8|32.0
119|41.52|2048|6|8|64.0
120|116.05|2048|6|16|4.0
121|84.95|2048|6|16|8.0
122|50.77|2048|6|16|16.0
123|44.45|2048|6|16|32.0
124|42.08|2048|6|16|64.0
125|286.63|2048|7|1|4.0
126|273.04|2048|7|1|8.0
127|301.17|2048|7|1|16.0
128|282.55|2048|7|1|32.0
129|272.49|2048|7|1|64.0
130|164.35|2048|7|2|4.0
131|157.21|2048|7|2|8.0
132|174.74|2048|7|2|16.0
133|163.57|2048|7|2|32.0
134|158.44|2048|7|2|64.0
135|87.27|2048|7|4|4.0
136|80.97|2048|7|4|8.0
137|90.93|2048|7|4|16.0
138|82.34|2048|7|4|32.0
139|78.77|2048|7|4|64.0
140|63.16|2048|7|8|4.0
141|88.57|2048|7|8|8.0
142|49.32|2048|7|8|16.0
143|44.39|2048|7|8|32.0
144|42.31|2048|7|8|64.0
145|50.75|2048|7|16|4.0
146|85.69|2048|7|16|8.0
147|58.54|2048|7|16|16.0
148|43.95|2048|7|16|32.0
149|41.83|2048|7|16|64.0
150|326.69|2048|8|1|4.0
151|309.7|2048|8|1|8.0
152|341.68|2048|8|1|16.0
153|319.19|2048|8|1|32.0
154|311.57|2048|8|1|64.0
155|167.83|2048|8|2|4.0
156|160.22|2048|8|2|8.0
157|176.34|2048|8|2|16.0
158|163.34|2048|8|2|32.0
159|158.26|2048|8|2|64.0
160|98.24|2048|8|4|4.0
161|109.0|2048|8|4|8.0
162|99.85|2048|8|4|16.0
163|82.07|2048|8|4|32.0
164|80.48|2048|8|4|64.0
165|194.48|2048|8|8|4.0
166|89.69|2048|8|8|8.0
167|56.88|2048|8|8|16.0
168|44.01|2048|8|8|32.0
169|42.3|2048|8|8|64.0
170|215.32|2048|8|16|4.0
171|93.89|2048|8|16|8.0
172|51.29|2048|8|16|16.0
173|44.91|2048|8|16|32.0
174|42.28|2048|8|16|64.0
175|368.1|2048|9|1|4.0
176|349.04|2048|9|1|8.0
177|384.29|2048|9|1|16.0
178|360.53|2048|9|1|32.0
179|349.2|2048|9|1|64.0
180|206.44|2048|9|2|4.0
181|200.29|2048|9|2|8.0
182|220.68|2048|9|2|16.0
183|205.31|2048|9|2|32.0
184|197.05|2048|9|2|64.0
185|122.45|2048|9|4|4.0
