|time|mat_size|power|num_th|blk_size
163|81.76|2048|8|4|32.0
164|80.07|2048|8|4|64.0
165|194.38|2048|8|8|4.0
166|89.38|2048|8|8|8.0
167|56.77|2048|8|8|16.0
168|43.53|2048|8|8|32.0
169|42.2|2048|8|8|64.0
170|214.94|2048|8|16|4.0
171|93.72|2048|8|16|8.0
172|51.07|2048|8|16|16.0
173|44.65|2048|8|16|32.0
174|41.93|2048|8|16|64.0
175|367.94|2048|9|1|4.0
176|348.73|2048|9|1|8.0
177|384.12|2048|9|1|16.0
178|360.07|2048|9|1|32.0
179|348.84|2048|9|1|64.0
180|206.0|2048|9|2|4.0
181|199.88|2048|9|2|8.0
182|220.53|2048|9|2|16.0
183|205.16|2048|9|2|32.0
184|196.66|2048|9|2|64.0
185|122.0|2048|9|4|4.0
186|116.37|2048|9|4|8.0
187|128.33|2048|9|4|16.0
188|121.2|2048|9|4|32.0
189|119.86|2048|9|4|64.0
190|159.6|2048|9|8|4.0
191|89.69|2048|9|8|8.0
192|89.17|2048|9|8|16.0
193|85.43|2048|9|8|32.0
194|81.53|2048|9|8|64.0
195|98.2|2048|9|16|4.0
196|87.86|2048|9|16|8.0
197|58.22|2048|9|16|16.0
198|44.97|2048|9|16|32.0
199|42.61|2048|9|16|64.0
200|408.22|2048|10|1|4.0
201|385.93|2048|10|1|8.0
202|425.66|2048|10|1|16.0
203|397.7|2048|10|1|32.0
204|388.11|2048|10|1|64.0
205|204.67|2048|10|2|4.0
206|195.35|2048|10|2|8.0
207|222.96|2048|10|2|16.0
208|204.85|2048|10|2|32.0
209|198.37|2048|10|2|64.0
210|134.58|2048|10|4|4.0
211|123.88|2048|10|4|8.0
212|132.36|2048|10|4|16.0
213|121.4|2048|10|4|32.0
214|119.34|2048|10|4|64.0
215|242.68|2048|10|8|4.0
216|87.0|2048|10|8|8.0
217|99.6|2048|10|8|16.0
218|84.71|2048|10|8|32.0
219|81.63|2048|10|8|64.0
220|129.11|2048|10|16|4.0
221|99.26|2048|10|16|8.0
222|58.35|2048|10|16|16.0
223|45.51|2048|10|16|32.0
224|42.68|2048|10|16|64.0
225|453.52|2048|11|1|4.0
226|429.67|2048|11|1|8.0
227|474.33|2048|11|1|16.0
228|443.72|2048|11|1|32.0
229|430.44|2048|11|1|64.0
230|248.2|2048|11|2|4.0
231|234.47|2048|11|2|8.0
232|259.34|2048|11|2|16.0
233|244.28|2048|11|2|32.0
234|237.34|2048|11|2|64.0
235|136.61|2048|11|4|4.0
236|119.4|2048|11|4|8.0
237|132.55|2048|11|4|16.0
238|122.7|2048|11|4|32.0
239|118.53|2048|11|4|64.0
240|235.17|2048|11|8|4.0
241|129.09|2048|11|8|8.0
242|97.37|2048|11|8|16.0
243|83.94|2048|11|8|32.0
244|82.04|2048|11|8|64.0
245|127.52|2048|11|16|4.0
246|90.26|2048|11|16|8.0
247|58.91|2048|11|16|16.0
248|45.25|2048|11|16|32.0
249|42.5|2048|11|16|64.0
250|491.32|2048|12|1|4.0
251|465.43|2048|12|1|8.0
252|514.8|2048|12|1|16.0
253|479.86|2048|12|1|32.0
254|467.57|2048|12|1|64.0
255|251.02|2048|12|2|4.0
256|241.12|2048|12|2|8.0
257|269.65|2048|12|2|16.0
258|246.34|2048|12|2|32.0
259|237.59|2048|12|2|64.0
260|130.13|2048|12|4|4.0
261|229.67|2048|12|4|8.0
262|132.99|2048|12|4|16.0
263|122.67|2048|12|4|32.0
264|120.51|2048|12|4|64.0
265|222.07|2048|12|8|4.0
266|144.39|2048|12|8|8.0
267|109.78|2048|12|8|16.0
268|84.69|2048|12|8|32.0
269|82.38|2048|12|8|64.0
270|102.57|2048|12|16|4.0
271|100.77|2048|12|16|8.0
